Branch,Username,Password,Employee Email,Customer Email,Role,MessageIds
RE-Huntington,cust001,pass123,~,s-dq@os1032fl3.com,Customer,
RE- Downtown,cust002,pass124,~,2jdwksr.44-0@fxc1e-4.com,Customer,
RE- Manhattan,cust003,pass125,~,mjncatp4h@yqq2b1ir.com,Customer,
RE- Brooklyn,cust004,pass126,~,jx9pj_eo_09@mifzkfgy8nmn.com,Customer,
RE- Parker,cust005,pass127,~,qul9hlf6gucfy@pdulp3.com,Customer,
RE- Richard,cust006,pass128,~,cxl3uzc0s@fl-qhg.com,Customer,
RE- Montreal,cust007,pass129,~,a09cbusec5v7@jy870xow.com,Customer,
RE- Royale,cust008,pass130,~,d7ydk7k.hk9@cl9w4byv.com,Customer,
RE- Liberty,cust009,pass131,~,7kp2ibe72q@8ub-47j4c.com,Customer,
RE- Janpath,cust010,pass132,~,f7x3yzpik@8ctl31m7uc.com,Customer,
RE- Hauz Khas,cust011,pass133,~,xmrph2@hkh7pbsfy.com,Customer,
RE- Juhu,cust012,pass134,~,9qs--@31yevig7z.com,Customer,
RE- Phoenix,cust013,pass135,~,fgp7o1bkdd4j@394ymjw.com,Customer,
RE-Huntington,cust014,pass136,~,l_f9hl@27c0-j.com,Customer,
RE- Downtown,cust015,pass137,~,ya99d_z@m1veo9o-iok.com,Customer,
RE- Manhattan,cust016,pass138,~,go70j@87ific3j9.com,Customer,
RE- Brooklyn,cust017,pass139,~,0m1y06a8h.c@vkjeqx-n.com,Customer,
RE- Parker,cust018,pass140,~,jecsh72ftcb731@2uzw2zym09qp.com,Customer,
RE- Richard,cust019,pass141,~,5smbxpt5ih@92j0v-xmu.com,Customer,
RE- Montreal,cust020,pass142,~,kaxx.vc@oesgv5hgi1-q.com,Customer,
RE- Royale,cust021,pass143,~,hg84gtd27a.8yx@6gyjkfq7-xch.com,Customer,
RE- Liberty,cust022,pass144,~,zk-8r6y@wl1lf2.com,Customer,
RE- Janpath,cust023,pass145,~,n08uwd6@2t11g3.com,Customer,
RE- Hauz Khas,cust024,pass146,~,7x65rjwc705gbts@c6o8o0ahz.com,Customer,
RE- Juhu,cust025,pass147,~,q32oku_clq@l8rf4jl6348x.com,Customer,
RE- Phoenix,cust026,pass148,~,af6j8@nfkd6xmnwpz.com,Customer,
RE-Huntington,cust027,pass149,~,wu8@n3giu0egf9.com,Customer,
RE- Downtown,cust028,pass150,~,4rfew@phpct4z9.com,Customer,
RE- Manhattan,cust029,pass151,~,zbitqazyv@w323z9cqoh.com,Customer,
RE- Brooklyn,cust030,pass152,~,y4p2khpizd@71mnfmb37ytw.com,Customer,
RE- Parker,cust031,pass153,~,2s0oisa9-s31@hxsxke.com,Customer,
